cluster_method,feature_radius,transition_radius,num_symbols,symbol_entropy_bits,symbol_entropy_normalized,prediction_accuracy,baseline_accuracy,transition_determinism,transition_entropy_bits,transition_entropy_normalized,novel_context_frac,num_contexts_train,target_entropy_bits,target_entropy_normalized,is_minimal_useful
gmm,1,0,16,3.719861308061855,0.9299653270154637,0.7699617084703947,0.17308927837171054,0.768969084087171,0.7036256558260875,0.17590641395652187,0.0,16,3.714154966826507,0.9285387417066268,False
gmm,0,0,8,2.77291493439915,0.92430497813305,0.7635690789473685,0.21445826480263158,0.7650660464638158,0.6967335934439681,0.23224453114798937,0.0,8,2.7597133971863226,0.9199044657287742,False
kmeans,3,0,8,2.935523158176578,0.9785077193921926,0.753919099506579,0.17674496299342105,0.751080964740954,0.7428708744876025,0.24762362482920083,0.0,8,2.934110145298921,0.9780367150996403,False
kmeans,0,0,16,3.7591965840709944,0.9397991460177486,0.7499678762335527,0.1792506167763158,0.7473770944695723,0.771555619455758,0.1928889048639395,0.0,16,3.756617991631976,0.939154497907994,False
gmm,2,0,16,3.780362090302912,0.945090522575728,0.7417634662828947,0.17308927837171054,0.741228605571546,0.8022139378523331,0.20055348446308327,0.0,16,3.7762098435008813,0.9440524608752203,False
kmeans,2,0,4,1.9457999711393064,0.9728999855696532,0.736559416118421,0.34781686883223684,0.7345982601768092,0.7436712885266372,0.3718356442633186,0.0,4,1.9451715598566501,0.9725857799283251,False
gmm,3,0,4,1.9870272091249261,0.9935136045624631,0.7293315686677632,0.2950632195723684,0.7285043816817435,0.981397538201373,0.4906987691006865,0.0,4,1.9874938269623734,0.9937469134811867,False
kmeans,0,0,4,1.8925518545722437,0.9462759272861219,0.7286890933388158,0.35064376027960525,0.7281686883223685,1.0233797995959364,0.5116898997979682,0.0,4,1.891955783368153,0.9459778916840765,False
gmm,0,0,16,3.7564616141222857,0.9391154035305714,0.7256566097861842,0.17362253289473684,0.724133943256579,0.7885218649963438,0.19713046624908595,0.0,16,3.743253103208597,0.9358132758021492,False
kmeans,1,0,2,0.9460340650372219,0.9460340650372219,0.7247571443256579,0.6341488486842105,0.7237645199424342,0.6479518839077499,0.6479518839077499,0.0,2,0.9464937707035763,0.9464937707035763,False
kmeans,3,0,4,1.9447286382245972,0.9723643191122986,0.6945736533717105,0.34418045847039475,0.6949543200041118,0.9585572066248176,0.4792786033124088,0.0,4,1.944893036302413,0.9724465181512065,False
kmeans,2,0,2,0.9307395071745987,0.9307395071745987,0.6913869757401315,0.6516627261513158,0.689562345805921,0.6672777810357063,0.6672777810357063,0.0,2,0.9312203476472645,0.9312203476472645,False
gmm,0,0,2,0.9317587185083369,0.9317587185083369,0.6893246299342105,0.650866056743421,0.6876686497738487,0.6799658190520687,0.6799658190520687,0.0,2,0.9319924485532932,0.9319924485532932,False
kmeans,0,0,2,0.931784154927011,0.931784154927011,0.6892989309210527,0.650866056743421,0.687639738384046,0.680129649397805,0.680129649397805,0.0,2,0.9319924485532932,0.9319924485532932,False
